LAD16CD,LAD16NM,CSP16CD,CSP16NM,PFA16CD,PFA16NM,FID
E07000141,South Kesteven,E22000178,South Kesteven,E23000020,Lincolnshire,334
E07000081,Gloucester,E22000096,Gloucester,E23000037,Gloucestershire,335
E06000052,Cornwall,E22000356,Cornwall,E23000035,Devon & Cornwall,336
E07000142,West Lindsey,E22000179,West Lindsey,E23000020,Lincolnshire,337
W06000023,Powys,W14000007,Powys,W15000004,Dyfed-Powys,338
E07000082,Stroud,E22000097,Stroud,E23000037,Gloucestershire,339
E06000053,Isles of Scilly,E22000050,Isles of Scilly,E23000035,Devon & Cornwall,340
E07000083,Tewkesbury,E22000098,Tewkesbury,E23000037,Gloucestershire,341
E07000143,Breckland,E22000218,Breckland,E23000024,Norfolk,342
W06000024,Merthyr Tydfil,W14000017,Merthyr Tydfil,W15000003,South Wales,343
E06000054,Wiltshire,E22000361,Wiltshire,E23000038,Wiltshire,344
E06000055,Bedford,E22000009,Bedford,E23000026,Bedfordshire,345
E06000056,Central Bedfordshire,E22000353,Central Bedfordshire,E23000026,Bedfordshire,346
E07000004,Aylesbury Vale,E22000303,Aylesbury Vale,E23000029,Thames Valley,347
E07000005,Chiltern,E22000306,Chiltern,E23000029,Thames Valley,348
