Year,Country,Region,Police force,Offence class (no.),Offence,Offence grouping,Number of endorsable FPNs,Number of non-endorsable FPNs,Total FPNs
2009,England,Yorkshire & The Humber,West Yorkshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",1178,,1178
2009,England,Yorkshire & The Humber,West Yorkshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,2228,2228
2009,England,Yorkshire & The Humber,West Yorkshire,13,Vehicle test offences,Vehicle test and condition offences,,3420,3420
2009,England,Yorkshire & The Humber,West Yorkshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,366,666,1032
2009,England,Yorkshire & The Humber,West Yorkshire,16,Speed limit offences,Speed limit offences,23612,,23612
2009,England,Yorkshire & The Humber,West Yorkshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,241,150,391
2009,England,Yorkshire & The Humber,West Yorkshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,4291,2824,7115
2009,England,Yorkshire & The Humber,West Yorkshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,389,31,420
2009,England,Yorkshire & The Humber,West Yorkshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",7,10719,10726
2009,England,Yorkshire & The Humber,West Yorkshire,21,Lighting offences,Lighting and noise offences,,719,719
2009,England,Yorkshire & The Humber,West Yorkshire,22,Noise offences,Lighting and noise offences,,28,28
2009,England,Yorkshire & The Humber,West Yorkshire,23,Load offences,Other offences,118,78,196
2009,England,Yorkshire & The Humber,West Yorkshire,24,Offences peculiar to motor cycles,Other offences,15,33,48
2009,England,Yorkshire & The Humber,West Yorkshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,54,54
2009,England,Yorkshire & The Humber,West Yorkshire,25b,Seat belt offences,Miscellaneous motoring offences,,8675,8675
2009,England,South West,Wiltshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,41,14,55
2009,England,South West,Wiltshire,4b,Use of hand-held mobile phone while driving,Careless driving,1256,,1256
2009,England,South West,Wiltshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",92,0,92
2009,England,South West,Wiltshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",489,,489
2009,England,South West,Wiltshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1096,1096
2009,England,South West,Wiltshire,13,Vehicle test offences,Vehicle test and condition offences,,651,651
2009,England,South West,Wiltshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,156,61,217
2009,England,South West,Wiltshire,16,Speed limit offences,Speed limit offences,27345,,27345
2009,England,South West,Wiltshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,17,4,21
2009,England,South West,Wiltshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,1540,395,1935
2009,England,South West,Wiltshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,37,45,82
2009,England,South West,Wiltshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",2,401,403
2009,England,South West,Wiltshire,21,Lighting offences,Lighting and noise offences,,142,142
2009,England,South West,Wiltshire,22,Noise offences,Lighting and noise offences,,27,27
2009,England,South West,Wiltshire,23,Load offences,Other offences,0,99,99
2009,England,South West,Wiltshire,24,Offences peculiar to motor cycles,Other offences,1,14,15
2009,England,South West,Wiltshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,1,1
2009,England,South West,Wiltshire,25b,Seat belt offences,Miscellaneous motoring offences,,1697,1697
2009,Wales,Wales,Dyfed-Powys,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,13,6,19
2009,Wales,Wales,Dyfed-Powys,4b,Use of hand-held mobile phone while driving,Careless driving,1196,,1196
2009,Wales,Wales,Dyfed-Powys,7,Driving licence related offences,"Licence, insurance and record keeping offences",31,0,31
2009,Wales,Wales,Dyfed-Powys,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",197,,197
2009,Wales,Wales,Dyfed-Powys,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,414,414
2009,Wales,Wales,Dyfed-Powys,13,Vehicle test offences,Vehicle test and condition offences,,0,0
2009,Wales,Wales,Dyfed-Powys,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,211,83,294
2009,Wales,Wales,Dyfed-Powys,16,Speed limit offences,Speed limit offences,10758,,10758
2009,Wales,Wales,Dyfed-Powys,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,11,0,11
2009,Wales,Wales,Dyfed-Powys,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,384,437,821
2009,Wales,Wales,Dyfed-Powys,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,41,15,56
2009,Wales,Wales,Dyfed-Powys,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",0,9711,9711
2009,Wales,Wales,Dyfed-Powys,21,Lighting offences,Lighting and noise offences,,231,231
2009,Wales,Wales,Dyfed-Powys,22,Noise offences,Lighting and noise offences,,33,33
2009,Wales,Wales,Dyfed-Powys,23,Load offences,Other offences,0,9,9
2009,Wales,Wales,Dyfed-Powys,24,Offences peculiar to motor cycles,Other offences,0,4,4
2009,Wales,Wales,Dyfed-Powys,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,1,145,146
2009,Wales,Wales,Dyfed-Powys,25b,Seat belt offences,Miscellaneous motoring offences,,1528,1528
2009,Wales,Wales,Gwent,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,30,10,40
2009,Wales,Wales,Gwent,4b,Use of hand-held mobile phone while driving,Careless driving,1265,,1265
2009,Wales,Wales,Gwent,7,Driving licence related offences,"Licence, insurance and record keeping offences",40,0,40
2009,Wales,Wales,Gwent,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",281,,281
2009,Wales,Wales,Gwent,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,709,709
2009,Wales,Wales,Gwent,13,Vehicle test offences,Vehicle test and condition offences,,239,239
2009,Wales,Wales,Gwent,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,77,247,324
2009,Wales,Wales,Gwent,16,Speed limit offences,Speed limit offences,14625,,14625
2009,Wales,Wales,Gwent,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,12,8,20
2009,Wales,Wales,Gwent,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,894,550,1444
2009,Wales,Wales,Gwent,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,58,36,94
2009,Wales,Wales,Gwent,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",2,13464,13466
2009,Wales,Wales,Gwent,21,Lighting offences,Lighting and noise offences,,317,317
2009,Wales,Wales,Gwent,22,Noise offences,Lighting and noise offences,,37,37
2009,Wales,Wales,Gwent,23,Load offences,Other offences,0,118,118
2009,Wales,Wales,Gwent,24,Offences peculiar to motor cycles,Other offences,0,12,12
2009,Wales,Wales,Gwent,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,2,2
2009,Wales,Wales,Gwent,25b,Seat belt offences,Miscellaneous motoring offences,,2709,2709
2009,Wales,Wales,North Wales,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,113,11,124
2009,Wales,Wales,North Wales,4b,Use of hand-held mobile phone while driving,Careless driving,2757,,2757
2009,Wales,Wales,North Wales,7,Driving licence related offences,"Licence, insurance and record keeping offences",59,0,59
2009,Wales,Wales,North Wales,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",290,,290
2009,Wales,Wales,North Wales,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1033,1033
2009,Wales,Wales,North Wales,13,Vehicle test offences,Vehicle test and condition offences,,888,888
2009,Wales,Wales,North Wales,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,161,212,373
2009,Wales,Wales,North Wales,16,Speed limit offences,Speed limit offences,27648,,27648
2009,Wales,Wales,North Wales,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,6,0,6
2009,Wales,Wales,North Wales,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,518,208,726
2009,Wales,Wales,North Wales,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,36,10,46
2009,Wales,Wales,North Wales,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",4,1512,1516
2009,Wales,Wales,North Wales,21,Lighting offences,Lighting and noise offences,,304,304
2009,Wales,Wales,North Wales,22,Noise offences,Lighting and noise offences,,68,68
2009,Wales,Wales,North Wales,23,Load offences,Other offences,0,39,39
2009,Wales,Wales,North Wales,24,Offences peculiar to motor cycles,Other offences,1,17,18
2009,Wales,Wales,North Wales,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,129,129
2009,Wales,Wales,North Wales,25b,Seat belt offences,Miscellaneous motoring offences,,9030,9030
2009,Wales,Wales,South Wales,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,43,10,53
2009,Wales,Wales,South Wales,4b,Use of hand-held mobile phone while driving,Careless driving,3137,,3137
2009,Wales,Wales,South Wales,7,Driving licence related offences,"Licence, insurance and record keeping offences",50,0,50
2009,Wales,Wales,South Wales,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",0,,0
